	verdict	intersection
95	198734.json	['30', '32', '154', '155', '167', '232', '253', '321', '418', '421', '616', '811', '818', '945', '946', '1093', '1096', '1156', '1223', '1358']
96	198737.json	['15', '37', '236', '345', '361', '400', '408', '463', '489', '610', '625', '637', '691', '859', '906', '958', '964', '1000', '1026', '1046', '1056', '1065', '1158', '1159', '1161', '1173', '1196', '1286', '1338']
97	198739.json	['40', '48', '232', '264', '367', '447', '510', '514', '543', '662', '702', '733', '742', '797', '871', '946', '952', '983', '1155', '1211', '1277', '1331', '1375', '1388']
98	198740.json	['235', '276', '362', '429', '430', '478', '507', '516', '530', '550', '695', '757', '785', '833', '843', '886', '1085', '1350']
99	198741.json	['37', '126', '203', '236', '266', '279', '325', '361', '400', '408', '437', '448', '463', '470', '489', '502', '545', '603', '610', '637', '653', '691', '698', '708', '788', '795', '859', '885', '958', '1026', '1046', '1065', '1126', '1159', '1161', '1173', '1220', '1286', '1338', '1376']
100	198742.json	['44', '362', '430', '507', '530', '550', '695', '757', '785', '886']
101	198744.json	['48', '92', '154', '241', '398', '591', '702', '705', '797', '831', '946', '952', '979', '1007', '1082', '1135', '1277']
102	198745.json	['431', '591', '639', '659', '662', '797', '850', '979', '1003', '1197', '1375']
103	198746.json	['19', '428', '607', '779', '965', '1255']
104	198748.json	['92', '154', '428', '818']
105	198749.json	['18', '398', '458', '666', '797', '871', '979', '1215', '1221', '1388']
106	198751.json	['73', '86', '92', '154', '264', '411', '537', '591', '797', '946', '996', '1007', '1033', '1041', '1174', '1197', '1326']
107	198752.json	['73', '86', '92', '154', '155', '411', '537', '616', '818', '946', '952', '996', '1007', '1033', '1041', '1174']
108	198753.json	['222', '313']
109	198754.json	['6', '23', '242', '641', '663', '1119', '1128', '1132']
110	198755.json	['256', '430', '465', '500', '757', '779', '785', '1231']
111	198756.json	['101', '164', '218', '336', '428', '500', '609', '743', '770', '779', '796', '886', '951', '977', '1059', '1103', '1226', '1250', '1255', '1350']
112	198757.json	['69', '220', '538', '782', '980', '1001', '1106', '1213']
113	198758.json	['236', '266', '345', '408', '448', '463', '470', '610', '637', '694', '704', '767', '806', '859', '964', '1046', '1056', '1196']
114	198759.json	['38', '68', '73', '173', '411', '537', '741', '797', '967', '979', '983', '996', '1019', '1155', '1277']
115	198760.json	['15', '236', '266', '279', '400', '408', '417', '470', '494', '610', '637', '704', '767', '806', '857', '859', '906', '1046', '1056', '1158']
116	198761.json	['86', '147', '150', '232', '505', '510', '514', '663', '733', '789', '818', '946', '1155', '1375']
117	198762.json	['150', '946', '1010', '1375']
118	198765.json	['241', '398', '591', '705', '770', '797', '850', '979', '1007', '1033', '1082', '1226', '1264', '1277']
119	198767.json	['92', '154', '155', '411', '510', '591', '733', '818', '850', '953', '1003', '1007', '1093', '1155', '1253', '1262', '1319']
120	198768.json	['86', '741', '996', '1003', '1007']
121	198769.json	['1', '39', '129', '177', '246', '347', '357', '410', '430', '439', '455', '465', '474', '492', '513', '565', '580', '677', '753', '785', '941', '951', '1204', '1231', '1238', '1279', '1281', '1311', '1350']
122	198770.json	['478', '510', '945', '953', '1119']
